Player Name,Photo,Nationship,Nation Image,Age,Date Born,Team,Team Image,Propietary Team,Competition,Position,2ª Position,Foot,Heigh,Profile Main Characteristic,Season,Contract End Date,Market Value (M),Matches Played,Minutes,Start Line UP %,Matches Index,Conditional index,Goal Involment Index,Passing Index,Technical Skills Index,Offensive Index,Defensive index,Performance Index,xPerformance Index,Scouting Index
Ayyoub Bouadi,https://cdn.resfu.com/img_data/players/medium/3240450.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,16,2007,Lille ,https://capology-e6a3.kxcdn.com/static/images/logos/fr/lille.svg,Lille,Ligue 1,AMF,CMF,Right,175,Physical Centre Midfielder,2023-2024,2026,38.0,18,694,39,68,68,90,78,57,51,50,50,60,60
Arda Güler,https://cdn.resfu.com/img_data/players/medium/3144243.jpg?size=180x&lossy=1,Turkey,https://capology-e6a3.kxcdn.com/static/images/flags/turkey.svg,19,2005,Real Madrid,https://capology-e6a3.kxcdn.com/static/images/logos/es/real-madrid.svg,Real Madrid,La Liga,AMF,RW,Left,175,Dribbler Attacking Midfielder,2023-2024,2029,14.9,8,166,25,60,53,95,95,70,94,73,60,75,70
Bart Verbruggen ,https://cdn.resfu.com/img_data/players/medium/711994.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,21,2002,Brighton & Hove Albion,https://capology-e6a3.kxcdn.com/static/images/logos/uk/brighton.svg,Brighton & Hove Albion,Premier League,GK,GK,Right,194,Aerial Play & 1Vs1 Especialist,2023-2024,2028,13.5,27,2430,100,99,100,85,87,77,73,70,76,87,90
Bastien Meupiyou,https://cdn.resfu.com/img_data/players/medium/3209206.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,18,2006,Nantes,https://cdn.resfu.com/img_data/escudos/medium/6805.jpg?size=120x&lossy=1,Nantes,Ligue 1,LCB,RB,Left,191,Technical Left CenterBack,2023-2024,2025,0.575,3,240,100,90,77,95,75,60,85,80,50,70,70
Benjamin Sesko ,https://cdn.resfu.com/img_data/players/medium/811819.jpg?size=180x&lossy=1,Slovenia,https://capology-e6a3.kxcdn.com/static/images/flags/slovenia.svg,21,2003,RB Leipzig,https://capology-e6a3.kxcdn.com/static/images/logos/de/leipzig.svg,RB Leipzig,Bundesliga,FW,LW,Right,195,Box Centre Forward,2023-2024,2028,52.7,42,2057,60,65,50,95,70,85,88,75,85,90,100
Benjamin Tahirovic,https://cdn.resfu.com/img_data/players/medium/949554.jpg?size=180x&lossy=1,Bosnia/Sweden,https://capology-e6a3.kxcdn.com/static/images/flags/bosnia-herzegovina.svg,21,2003,Ajax,https://capology-e6a3.kxcdn.com/static/images/logos/ne/ajax.svg,Ajax,Eredivisie,DMF,CMF,Right,191,Defensive Technical Midfielder,2023-2024,2028,7.1,37,2377,70,60,50,90,90,70,81,70,66,75,80
Bilal El Khannouss,https://cdn.resfu.com/img_data/players/medium/886704.jpg?size=180x&lossy=1,Morocco,https://capology-e6a3.kxcdn.com/static/images/flags/morocco.svg,20,2004,Genk,https://capology-e6a3.kxcdn.com/static/images/logos/be/genk.svg,Genk,Belgium Pro League,AMF,CMF,Right,180,Technical Attacking Midfielder,2023-2024,2027,26.6,50,3964,90,80,40,65,85,75,65,70,75,80,90
Billy Gilmour ,https://cdn.resfu.com/img_data/players/medium/348916.jpg?size=180x&lossy=1,Scotland,https://capology-e6a3.kxcdn.com/static/images/flags/scotland.svg,22,2001,Brighton & Hove Albion,https://capology-e6a3.kxcdn.com/static/images/logos/uk/brighton.svg,Brighton & Hove Albion,Premier League,DMF,CMF,Right,170,Technical Defensive Midfielder,2023-2024,2026,20.8,41,2924,80,80,60,65,87,76,70,75,75,81,90
Bobby Clark,https://cdn.resfu.com/img_data/players/medium/875698.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,19,2005,Liverpool,https://capology-e6a3.kxcdn.com/static/images/logos/uk/liverpool.svg,Liverpool,Premier League,AMF,LW,Right,178,Attacking Left Midfielder,2023-2024,2027,0.834,12,1003,92,80,65,99,76,60,90,70,50,70,70
Bradley Barcola,https://cdn.resfu.com/img_data/players/medium/879198.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,21,2002,PSG,https://capology-e6a3.kxcdn.com/static/images/logos/fr/psg.svg,PSG,Ligue 1,LW,RW,Right,182,Changed Leg Left Winger ,2023-2024,2028,38.5,39,2098,68,70,50,75,95,80,65,70,76,85,90
Bradley Locko,https://cdn.resfu.com/img_data/players/medium/969586.jpg?size=180x&lossy=1,France,https://capology-e6a3.kxcdn.com/static/images/flags/france.svg,22,2002,Stade Brestois,https://capology-e6a3.kxcdn.com/static/images/logos/fr/brest.svg,Stade Brestois,Ligue 1,LB,LWB,Left,180,Defensive Left Back,2023-2024,2027,8.9,35,3141,100,60,55,50,75,75,56,80,73,80,90
Brajan Gruda,https://cdn.resfu.com/img_data/players/medium/887542.jpg?size=180x&lossy=1,Germany,https://capology-e6a3.kxcdn.com/static/images/flags/germany.svg,20,2004,Maninz 05,https://capology-e6a3.kxcdn.com/static/images/logos/de/mainz.svg,Maninz 05,Bundesliga,RW,RAMF,Left,178,Changed Leg Right Winger ,2023-2024,2026,7.3,29,1740,70,66,50,90,80,75,90,77,70,80,80
Brandan Craig,https://cdn.resfu.com/img_data/players/medium/908247.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2004,El Paso Locomotive,https://cdn.resfu.com/img_data/escudos/medium/119277.jpg?size=120x&lossy=1,Philadelphia Union,MLS,RCB,DMF,Right,185,Positional CenterBack,2023-2024,2024,0.531,7,437,86,92,83,60,77,55,50,70,50,65,60
Brian Brobbey,https://cdn.resfu.com/img_data/players/medium/429362.jpg?size=180x&lossy=1,Netherlands,https://capology-e6a3.kxcdn.com/static/images/flags/netherlands.svg,22,2002,Ajax,https://capology-e6a3.kxcdn.com/static/images/logos/ne/ajax.svg,Ajax,Eredivisie,FW,AMF,Right,182,Box Centre Forward,2023-2024,2027,31.2,43,3372,95,65,50,95,65,80,87,60,80,85,90
Brian Gutiérrez,https://cdn.resfu.com/img_data/players/medium/902988.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2003,Chicago Fire,https://cdn.resfu.com/img_data/escudos/medium/758.jpg?size=120x&lossy=1,Chicago Fire,MLS,AMF,AMF,Right,178,Attacking Left Midfielder,2023-2024,2028,8.7,15,1034,80,70,60,70,75,70,65,65,70,80,90
Bukayo Saka,https://cdn.resfu.com/img_data/players/medium/677979.jpg?size=180x&lossy=1,England,https://capology-e6a3.kxcdn.com/static/images/flags/england.svg,22,2001,Arsenal,https://capology-e6a3.kxcdn.com/static/images/logos/uk/arsenal.svg,Arsenal,Premier League,RW,FW,Left,178,Changed Leg Right Winger ,2023-2024,2027,161.6,47,3836,98,83,70,85,77,90,85,76,94,95,100
Cade Cowell,https://cdn.resfu.com/img_data/players/medium/843562.jpg?size=180x&lossy=1,USA,https://capology-e6a3.kxcdn.com/static/images/flags/united-states.svg,20,2003,Chivas,https://capology-e6a3.kxcdn.com/static/images/logos/mx/guadalajara.svg,Chivas,LMX,LW,FW,Right,183,Changed Leg Left Winger ,2023-2024,2025,11.5,22,997,50,55,40,60,59,70,65,67,70,80,80
